TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
TURUNAN DARI: sapida;basapida;;bersepeda;;;
UTAMA;sapu;;sapu;;sapu daun  nang bahamburan di  halaman;sapu daun  yang berhamburan di  halaman
TURUNAN DARI: sapu;manyapuakan;;menyapukan;;inya  manyapuakan kain  ngitu ka muhanya;ia  menyapukan kain itu  ke wajahnya 
TURUNAN DARI: sapu;manyapu ;;  menyapu;;inya manyapu lantai  nang badabu;ia  menyapu lantai yang  berdebu
TURUNAN DARI: sapu;sasapu;;sapu;;;
UTAMA;sapupu;;sepupu ;;;
TURUNAN DARI: sapupu;basapupu;; ada  hubungan sepupu;;aku wan inya  basapupu; aku dan  dia ada hubungan  sepupu 
UTAMA;sarai;;"serai; sereh";;;
UTAMA;sarik;;a  marah;;;
TURUNAN DARI: sarik;manyanyarik;;marah-marah;;;
TURUNAN DARI: sarik;manyariki;;memarahi ;;;
TURUNAN DARI: sarik;kasasarikan;; sangat  marah  ;;;
TURUNAN DARI: sarik;panyarikan;;orang yang suka marah-marah, suka marah-marah;;;
UTAMA;saru;;undang;;;
UTAMA;sirih;si.rih;sejenis tanaman yang digunakan untuk penyambutan tamu;Kata benda;sekapur sirih;kapur yang dipakein sirih
UTAMA;uar;;nama sejenis kayu, kulitnya untuk nenyamak kulit atau untuk mencelup kain;;;
TURUNAN DARI: uar;mauar;;memerahkan sesuatu dengan uar;;;
TURUNAN DARI: uar;mauarakan;;menyebarluaskan (dalam arti yang tidak baik);;;
UTAMA;ubah;;ubah;v;;
TURUNAN DARI: ubah;baubah;;berubah ;v;;
TURUNAN DARI: ubah;maubah;;mengubah;v;;
TURUNAN DARI: ubah;taubah;;berubah dengan tidak sengaja;v;jangan diutak-atik lagi mesin ngitu, kalo pina taubah setelannya;jangan diutak-atik lagi mesin itu, nanti berubah setelannya
UTAMA;ubak;;empulur rotan;;;
UTAMA;uban;;uban;;;
UTAMA;ubang;;;;;
TURUNAN DARI: ubang;maubang;;mengapak (kayu);;;
TURUNAN DARI: ubang;diubang;;dihantam, dikapak;;;
UTAMA;ubar;;"bakar; panggang (tentang ikan) ";v;;
TURUNAN DARI: ubar;baubar;;"bakar; panggang (tentang ikan)";v;nyaman banar makan haruan baubar;enak sekali makan ikan gabus bakar
TURUNAN DARI: ubar;maubar;;"membakar; memanggang (tentang ikan)";v;esok aku handak maubar papuyu;besok aku mau membakar ikan betok
UTAMA;ubat;;obat ;n;;
TURUNAN DARI: ubat;baubat;;berobat;v;mun garing bawa baubat;kalau sakit bawa berobat
TURUNAN DARI: ubat;maubati;;mengobati;v;inya nukar salap gasan maubati batisnya nang gatal;ia membeli salep untuk mengobati kakinya yang gatal
UTAMA;ubing;;(BH) obeng;;;
UTAMA;ubral;;obral;;;
UTAMA;ubur;;;;;
TURUNAN DARI: ubur;ubur-ubur;;ubur-ubur;;;
TURUNAN DARI: ubur;payung ubur-ubur;;payung kebesaran (payung besar dengan tepi yang berhias gemerlapan dan gemerincing, biasanya untuk mengarak pengantin, tamu-tamu agung dsb);;;
UTAMA;ucap;;"ucap; ujar ";n;;
TURUNAN DARI: ucap;baucap;;"berucap; berujar";v;inya baucap tarima kasih imbah dibari duit;ia berucap terima kasih setelah diberi uang
TURUNAN DARI: ucap;maucap;;mengucap;v;;
TURUNAN DARI: ucap;maucapakan;;mengucapkan;v;inya maucapakan tarima kasih lawan aku;ia mengucapkan terima kasih kepadaku
TURUNAN DARI: ucap;taucap;;terucap;v;banyak nang handak kukisahakan tapi kada taucap;banyak yang ingin kuceritakan tapi tidak terucap
UTAMA;ucir;;sebar, hambur;;;
TURUNAN DARI: ucir;bauciran;;berhamburan, berceceran;;bujur-bujur maangkat jangan bauciran;baik-baik mengangkat jangan berceceran 
TURUNAN DARI: ucir;maucir;;menyebar;;maucir panderan;menyebar pembicaraan
TURUNAN DARI: ucir;maucir;;berceceran;;ayamku baintalu maucir ;ayamku bertelur berceceran
UTAMA;ucung;;(BH) cucu (sebutan kesayangan);;;
UTAMA;ucus;;usus, babat;;sete ucus;sate usus (babat)
UTAMA;udak;;aduk;v;;
TURUNAN DARI: udak;maudak;;mengaduk;v;inya maudak cat di ember lawan kayu;ia mengaduk cat di ember dengan kayu
TURUNAN DARI: udak;udakan;;pengaduk;;;
UTAMA;udal;;"bongkar; pindahkan";v;;
TURUNAN DARI: udal;maudal;;"membongkar; memindahkan";v;;
UTAMA;udar;;gelut;;;
TURUNAN DARI: udar;baudar;;bergelut;;;
TURUNAN DARI: udar;maudar;;menggeluti;;;
UTAMA;udara;;(BH) kapal terbang;;;
UTAMA;udik;;udik, dusun, desa;;urang udik;orang desa
UTAMA;udu;;wudu;v;;
TURUNAN DARI: udu;baudu;;berwudu;v;mun handak sumbahyang, baudu dulu;jika ingin salat, berwudu dulu
UTAMA;udul;;(BH) odol, tapal gigi;;;
UTAMA;udur;;uzur;a;niniku sudah udur, kada kawa lagi bajalan jauh;nenekku sudah uzur, tidak bisa lagi pergi jauh
UTAMA;udut;;(BH) rokok;;;
TURUNAN DARI: udut;maudut;;merokok;;;
UTAMA;ugah;;menjauh, pindah;v;ugah pang piring ngitu ka sana;pindah piring itu ke sana
TURUNAN DARI: ugah;baugah ;;berpindah;v;baugah ja gin aku pada sini;berpindah saja aku dari sini
UTAMA;ugai;;bongkar;v;ugai kutak ngitu;bongkar kotak itu
TURUNAN DARI: ugai;maugai;;membongkar;v;sudah inya maugai lamari, tatap ai baju nang dicarinya kadada;ia sudah membongkar lemari, tetap saja baju yang dicarinya tidak ditemukan
UTAMA;ugar;;besar;a;;
UTAMA;ugut;;;;;
TURUNAN DARI: ugut;ugut-ugut;;(duduk) tanpa bicara;;;
UTAMA;uhu;;payah;a;uhu banar, kaya itu ja kada kawa manggawi;payah sekali, seperti itu saja tidak sanggup menggawi
UTAMA;ui;;oi (kata seru untuk memanggil dan sebagainya);p cak;ui, siapa ngaran ikam?;oi, siapa namamu?
UTAMA;ujah;;"ujar; ucap";n;;
UTAMA;ujak;;;;;
TURUNAN DARI: ujak;diujak-ujaki;;dipengaruhi;;;
UTAMA;ujan;;hujan;;;
TURUNAN DARI: ujan;kaujanan;;kehujanan;;;
UTAMA;ujar;;"ujar; ucap";n;;
UTAMA;uji;;uji;;;
TURUNAN DARI: uji;mauji;;menguji;;;
UTAMA;ujuk;;;;;
TURUNAN DARI: ujuk;ujuk-ujuk;;(seperti orang bodoh), mencla-mencle;;;
UTAMA;ujung;;ujung;n;inya diam di ujung gang;ia tinggal di ujung gang
TURUNAN DARI: ujung;baujung;;berlaba;;;
TURUNAN DARI: ujung;maujungi;;mengambil untung, mengambil laba;;;
TURUNAN DARI: ujung;ujungan ;;laba;;;
TURUNAN DARI: ujung;kaujungan;;laba, keuntungan;;;
UTAMA;ujut;;ujud, wujud;;;
TURUNAN DARI: ujut;baujut;;berwujud;;gawian kada baujut (hasil);perkerjaan tak berwujud
TURUNAN DARI: ujut;maujut;;(hubungan) mesra, baik;;anak tirinya itu maujut banar wayah ni;anak tirinya itu baik sekali sekarang ini
UTAMA;ukang;;gigit (dengan mukut terbuka lebar);;;
TURUNAN DARI: ukang;maukang;;menggigit;;;
UTAMA;ukar;;okar;;;
UTAMA;ukara;;prakarsa;;;
TURUNAN DARI: ukara;baukara;;berprakarsa;;siapa nang baukarax;siapa yang berprakarsa
UTAMA;ukir;;ukir;v;;
TURUNAN DARI: ukir;baukir;;berukir ;v;;
TURUNAN DARI: ukir;maukir;;mengukir;v;;
UTAMA;ukup;;;;;
TURUNAN DARI: ukup;maukup;;memberi asap yang harum pada sesuatu, misal pakaian, senjata, pusaka dsb;;;
UTAMA;ukur;;ukur;n;;
TURUNAN DARI: ukur;baukur;;diukur;v;tanah sidin cagar dijual, esok handak baukur;tanah beliau akan dijual, besok akan diukur
TURUNAN DARI: ukur;maukur;;mengukur ;v;sudahkah baukur tanah, jar habar handak dijual;sudahkah mengukur tanah, dengar-dengar mau dijual
TURUNAN DARI: ukur;saukuran;;sama ukurannya dengan;n;buahnya ganal saukuran bola;buahnya besar, sama ukurannya dengan bola
TURUNAN DARI: ukur;ukuran;;ukuran;n;;
UTAMA;ula;;;;;
TURUNAN DARI: ula;maula-ula;;mau muntah;;parut maula-ula;perut mau muntah
UTAMA;ulah;;"buat; olah";v;;
TURUNAN DARI: ulah;baulah;;membuat;v;inya bisa baulah katekan;ia bisa membuat ketapel
TURUNAN DARI: ulah;maulah;;membuat;v;hari ni aku handak maulah wadai;hari ini aku mau membuat kue
TURUNAN DARI: ulah;maulahakan;;membuatkan;v;aku handak maulahakan mamaku baju;aku mau membuatkan ibuku baju
TURUNAN DARI: ulah;ulahan;;buatan ;n;;
UTAMA;ulahraga;;olahraga ;n;;
TURUNAN DARI: ulahraga;baulahraga;;berolahraga;v;inya rajin baulahraga saban baisukan;ia rajin berolahraga setiap pagi
UTAMA;ulai;;putar;v;ulai rantainya;putar rantainya
TURUNAN DARI: ulai;baulai;;berputar;v;kupalaku asa baulai;kepalaku serasa berputar
TURUNAN DARI: ulai;maulai;;memutar;v;tali dipakai gasan maulai gasing;tali digunakan untuk memutar gasing
UTAMA;ulak;;ulak (pusaran air);n;;
UTAMA;ulam;;;;;
TURUNAN DARI: ulam;ulaman;;nyamikan (makanan pencuci mulut);;;
UTAMA;ulama;;ulama;n;;
UTAMA;ulang;;ulang;;;
TURUNAN DARI: ulang;ayam ulangan;;untuk ayam, yang berkelahi kalah lalu lari, tapi kembali lagi melawan, demikian berkali-kali;;;
UTAMA;ulanja;;belanja ;n;;
TURUNAN DARI: ulanja;baulanja;;berbelanja;v;duit ditabung, jangan baulanja tarus;uang ditabung, jangan berbelanja terus
TURUNAN DARI: ulanja;maulanjaakan ;;membelanjakan;v;aku maulanjaakan duit bariannya;aku membelajakan uang pemberiannya
TURUNAN DARI: ulanja;maulanjai;;membelanjai;v;saban hari nang maulanjainya acilnya;setiap hari yang membelanjainya adalah tantenya
TURUNAN DARI: ulanja;paulanja;;orang yang suka berbelanja;n;;
TURUNAN DARI: ulanja;ulanjaan ;;belanjaan;n;;
UTAMA;ulap;;manja;;;
TURUNAN DARI: ulap;baulap;;bermanja diri;;;
UTAMA;ular;;ular;n;;
UTAMA;ulas;;;;;
TURUNAN DARI: ulas;ulas tilam;;seprai kasur;;;
UTAMA;ulih;;peroleh;v;;
TURUNAN DARI: ulih;baulih;;memperoleh ;v;;
TURUNAN DARI: ulih;ulihan;;"perolehan; pendapatan";n;;
UTAMA;ulin;;ulin;n;;
UTAMA;uling;;;;;
TURUNAN DARI: uling;bauling;;menggeleng ;v;;
UTAMA;ulir;;ulir;;;
UTAMA;ulit;;;;;
TURUNAN DARI: ulit;baulit;;berbaring, berguling-guling;;;
UTAMA;ulu;;olok;n;;
TURUNAN DARI: ulu;maulu-ulu;;mengolok-olok;v;jangan katuju maulu-ulu; jangan suka mengolok-olok
UTAMA;ulun;u.lun;saya, hamba (BH);pron;ulun handak guring!;saya mau tidur!
UTAMA;ulur;;"ulur; turunkan";v;;
TURUNAN DARI: ulur;baulur;;sudah diulur;adv;;
TURUNAN DARI: ulur;bauluran;;terjulur;v;;
TURUNAN DARI: ulur;maulur;;mengulur ;v;;
UTAMA;uma;;ibu;n;;
TURUNAN DARI: uma;bauma;;beribu;v;inya yatim piatu, kada bauma kada baabah;ia yatim piatu, tidak beribu tidak berayah
UTAMA;umai;;wah;p;umai, bagusnya rumah ikam;wah, bagus sekali rumahmu
UTAMA;umat;;umat;;;
TURUNAN DARI: umat;baumatan;;berelastis;;;
UTAMA;umbai;;(BH) bujuk rayu;;;
UTAMA;umbak;;ombak;n;;
TURUNAN DARI: umbak;baumbak;;berombak ;v;;
UTAMA;umbas;;boroskan, habiskan;;;
TURUNAN DARI: umbas;maumbas;;memboroskan, menghabiskan;;;
UTAMA;umbayang;;bayangan;n;;
TURUNAN DARI: umbayang;baumbayang;;berbayang-bayang ;v;;
UTAMA;umbul;;umbul;;;
UTAMA;umih;;(BK) kupas (untuk dami nangka);;;
TURUNAN DARI: umih;maumih;;mengupas;;maumih dami nangka;mengupas dami nangka (Iih dami)
UTAMA;umihan;;(BH) Iih omehan;;;
UTAMA;umpal;;banyak makan ikan;a;inya makan umpal banar;ia makan ikan banyak sekali
UTAMA;umpama;;umpama;;;
UTAMA;umpan;;umpan (makanan hewan);n;;
TURUNAN DARI: umpan;baumpan;;ada umpannya;v;;
TURUNAN DARI: umpan;maumpani;;memberi umpan;v;;
UTAMA;umpat;;ikut;v;;
TURUNAN DARI: umpat;baumpat;;kambuh;v;;
TURUNAN DARI: umpat;maumpati;;ikut serta ;v;;
UTAMA;umpung;;ompong;;;
UTAMA;umum;;umum;n;;
TURUNAN DARI: umum;maumumakan;;mengumumkan;v;;
UTAMA;umur;;umur;n;;
TURUNAN DARI: umur;baumur;;berumur;v;kakanak nitu baumur 7 tahun;anak itu berumur 7 tahun
TURUNAN DARI: umur;saumur;;seumur;n;;
TURUNAN DARI: umur;saumuran;;seumur;n;kami badua saumuran;kami berdua seumur
UTAMA;unak;;onak;;;
UTAMA;uncit;;akhir;a;ngarannya dikiyau paling uncit;namanya dipanggil paling akhir
TURUNAN DARI: uncit;pauncitan;;terakhir;a;ia datang pauncitan;ia datang paling akhir
UTAMA;uncui;;uang, fulus;;;
UTAMA;uncum;;(BH) oncom;;;
UTAMA;unda I;;saya;pron;unda handak tulak;saya mau pergi
UTAMA;unda Ii;;;;;
TURUNAN DARI: unda Ii;baundaan ;;memindahkan barangsedikit demi sedikit;;;
TURUNAN DARI: unda Ii;maunda;;Iih baunda;;;
UTAMA;undang;;undang;v;;
TURUNAN DARI: undang;maundang;;mengundang;v;inya maundangku ka rumahnya;ia mengundangku ke rumahnya
TURUNAN DARI: undang;undangan;;undangan;n;;
UTAMA;undapang;;(BH) bersandar;;;
UTAMA;undas;;undas (barang pilihan sebagai alat permainan) ;n;;
UTAMA;undayang;;(BH) Iih andayang;;;
UTAMA;undi;;undi;;;
TURUNAN DARI: undi;undi-undi;;(BH) onde-onde;;;
UTAMA;unduh;;petik buah dalam jumlah banyak tanpa memilih ukuran atau tingkat kematangannnya ;v;;
TURUNAN DARI: unduh;maunduh;;memetik buah dalam jumlah banyak tanpa memilih ukuran atau tingkat kematangannny;v;;
UTAMA;undur;;"mundur; undur";v;;
TURUNAN DARI: undur;baundur;;"mundur; undur ";v;;
TURUNAN DARI: undur;maundurakan;;"memundurkan; mengundurkan";v;;
TURUNAN DARI: undur;taundur;;tidak sengaja mundur ;v;;
UTAMA;ungah;;manja;a;kakanakan ngitu ungah banar;anak itu manja sekali
TURUNAN DARI: ungah;baungah;;bermanja-manja;v;inya katuju banar baungah lawan kuitannya;ia suka sekali bermanja-manja dengan orang tuanya
TURUNAN DARI: ungah;kaungahan;;senang;a;inya kaungahan ditukarakan baju;ia senang dibelikan baju
UTAMA;ungal;;daya;;;
TURUNAN DARI: ungal;baungal;;berdaya, berkutik;;kada baungal;tidak berkutik
UTAMA;ungap;;buka (untuk mulut);;;
TURUNAN DARI: ungap;baungap;;membuka (mulut) ;;;
TURUNAN DARI: ungap;maungapakan;;membukakan (mulut);;;
TURUNAN DARI: ungap;ungap-ungap;;mulut yang terbuka tertutup, misalnya karna payah dsb;;;
UTAMA;unggal;;goyang (untuk perahu di sungai);;;
UTAMA;unggit;;;;;
TURUNAN DARI: unggit;unggit-unggit;;(pantat) terjungkit;;;
UTAMA;unggut;;angguk, manggut;n;;
TURUNAN DARI: unggut;maunggut;;mengangguk;v;inya maunggut tandanya hakun;ia mengangguk tanda setuju
TURUNAN DARI: unggut;baunggut;;mengangguk;v;;
TURUNAN DARI: unggut;maungguti;;mengangguki;;;
TURUNAN DARI: unggut;unggut-unggut;;manggut-manggut;;;
UTAMA;ungkai;;keluarkan agar orang lain melihat atau tahu (tentang sesuatu yang sebelumnya disimpan);v;;
TURUNAN DARI: ungkai;maungkai;;mengeluarkan agar orang melihat atau tahu (tentang sesuatu yang sebelumnya disimpan);v;;
UTAMA;ungkan;;gerakan memijat perut dengan menekan dari bawah perut dan mendorongnya ke atas untuk mengembalikan posisi rahim dan kandung kemih ke asalnya ;n;;
TURUNAN DARI: ungkan;maungkan;; memijat perut dengan cara ungkan;v;;
UTAMA;ungkap;;"ungkap; buka; singkap";v;;
TURUNAN DARI: ungkap;maungkap;;"mengungkap; membuka; menyingkap";v;;
TURUNAN DARI: ungkap;taungkap;;"terungkap; terbuka; tersingkap";v;;
UTAMA;ungkum;;peram ;v;;
TURUNAN DARI: ungkum;maungkum;;memeram;v;inya maungkum mangga ngitu sakira lakas masak;ia memeram mangga itu supaya cepat matang
UTAMA;ungkus;;biaya;n;;
TURUNAN DARI: ungkus;maungkusi;;maungkusi;v;nininya nang maungkusinya sakulah;neneknya yang membiayainya sekolah
UTAMA;ungsut;;susut;;;
UTAMA;ungu;;ungu;n;;
UTAMA;ungut;;menung, renung;v;;
TURUNAN DARI: ungut;baungut;;bermenung;v;;
TURUNAN DARI: ungut;taungut;;termenung;v;kanapa ikam pina taungut matan tadi?;kenapa kamu terlihat termenung sejak tadi?
TURUNAN DARI: ungut;maungut;;merenung;v;inya maungut mamikirakan anaknya ;a ia merenung memikirkan anaknya
UTAMA;unjuk;;"serahkan; berikan:";v;unjuk buku ngitu ka wadahnya;serahkan buku itu kepadanya
TURUNAN DARI: unjuk;maunjuk;;"menyerahkan; memberikan";;inya datang ka rumahku maunjuk undangan;ia datang ke rumahku menyerahkan undangan
UTAMA;unjun;;pancing ;n;;
TURUNAN DARI: unjun;maunjun;;memancing;;inya katuju maunjun di sungai;ia suka memancing di sungai
UTAMA;unjut;;"sudut; pelosok";n;;
UTAMA;unta;;(BH) onta;;;
UTAMA;untai;;untai;;;
UTAMA;untal;;"untal; menelan secara utuh ";v;;
TURUNAN DARI: untal;mauntal;;menguntal ;v;;
UTAMA;unting;;bedek;;;
TURUNAN DARI: unting;maunting;;membedek;;;
TURUNAN DARI: unting;untingan;;bedekan, motif;;aku tahuai untingannya jadi mau umpat;saya tahu saja motif dia sehingga mau ikut
UTAMA;untuk;;untuk (nama kue yang mirip dengan bakpao tapi digoreng);n;;
TURUNAN DARI: untuk;bauntuk;;berangguk;;;
UTAMA;untung;;untung;a;hari hujan, untung aku mambawa payung;hari hujan, untung aku membawa payung
TURUNAN DARI: untung;bauntung;;beruntung;v;aku bauntung baisi kawan nang kaya inya,;aku beruntung memiliki teman seperti dia
UTAMA;unus;;unus (nama salah satu jenis beras);n;;
UTAMA;unyai;;kumal;;;
UTAMA;unyak;;Iih unyai;;;
UTAMA;unyuk;;keliru;;;
UTAMA;unyut;;denyut;;;
TURUNAN DARI: unyut;baunyut;;mengeper;;;
UTAMA;upacara;;upacara;;;
UTAMA;upah;;upah;n;;
TURUNAN DARI: upah;maupah;;mengupah;v;inya maupah tukang gasan mambaiki hatap rumahnya nang miris;ia mengupah tukang untuk memperbaiki atap rumahnya yang bocor
TURUNAN DARI: upah;upahan;;upahan;n;;
UTAMA;upang;;"topang; sandar ";v;;
TURUNAN DARI: upang;baupang;;"bertopang; bersandar ";v;;
UTAMA;upas;;opas;;;
UTAMA;upat;;suluh, obor;;;
UTAMA;upati;;(BH) upeti;;;
UTAMA;upau;;"batal; seri";a;;
TURUNAN DARI: upau;bauupauan;;permainan petak umpet ;n;;
UTAMA;upih;;upih;n;;
UTAMA;upung;;seludang (kulit pemalut mayang pinang);n;;
UTAMA;upur;;(BH) Iih opor;;;
UTAMA;urah;;;;;
TURUNAN DARI: urah;baurahan;;saling mengejek, saling mengolok;;;
TURUNAN DARI: urah;maurahakan;;mengejek, mengolok-olok;;;
TURUNAN DARI: urah;urah-urah;;pura-pura;;;
UTAMA;urai;;urai;a;;
TURUNAN DARI: urai;baurai;;berurai;v;rambutnya baurai panjang;rambutnya berurai panjang
TURUNAN DARI: urai;maurai;;mengurai, mekar terbuka (tentang mayang, padi, dan sebagainya);v;;
UTAMA;urak;;"gelar; buka";v;urak sajadah nang balipat ngitu,;gelar sajadah yang berlipat itu
TURUNAN DARI: urak;baurak;;"tergelar; terhampar";v;tikar sudah baurak di lantai;tikar sudah tergelar di lantai
TURUNAN DARI: urak;maurak;;"menggelar; membuka:";v;acil maurak tikar di lantai;bibi menggelar tikar di lantai
UTAMA;urang;;orang;n;;
TURUNAN DARI: urang;manyaurangan;;sendirian;adv;inya tu wani banar tulak manyaurangan;ia itu berani sekali pergi sendirian
TURUNAN DARI: urang;surang;;saurang;kp;ikam tulak surang ja gin lah, aku kada kawa mangawani;kamu berangkat sendiri saja ya, aku tidak bisa menemani
TURUNAN DARI: urang;saurangan;;sendiri ;a;inya saurangan ja di rumah;ia sendiri saja di rumah
TURUNAN DARI: urang;saurang;;saya sendiri;n;saurang handak guring ja nah, ngantuk banar mataku;saya sendiri mau tidur saja, ngantuk sekali mataku
UTAMA;urap;;urap;;;
UTAMA;urat;;urat;n;;
TURUNAN DARI: urat;baurat;;bertenaga;v;asa kada baurat aku maangkat kursi ngitu,;rasa tidak bertenaga aku mengangkat kursi itu
TURUNAN DARI: urat;urat basakian;;kejang otot, keram;;;
UTAMA;uri;;uri, tembuni;;;
UTAMA;urip;;;;;
TURUNAN DARI: urip;baurip;;sejenis permainan dengan melemparkan uang ke atas;;;
UTAMA;uruk;;uruk;v cak;uruk halaman sekolahan ini lawan tanah habang;uruk halaman sekolah ini dengan tanah merah
TURUNAN DARI: uruk;mauruk;;menguruk;v;abah nukar tanah gasan mauruk halaman;ayah membeli tanah untuk menguruk halaman
UTAMA;urung;;kulit ketupat ;n;;
UTAMA;urus;;urus;;;
TURUNAN DARI: urus;kada urus;;tidak beres;;;
UTAMA;urut;;pijat;v;urut batis ikam mun pina ringkut;pijat kakimu jika pegal
TURUNAN DARI: urut;baurut;;dipijat;v;aku handak baurut, singkalan awakku;aku mau dipijat, pegal badanku
TURUNAN DARI: urut;maurut;;memijat;v;inya maurut batisnya nang singkal;ia memijat kakinya yang pegal
TURUNAN DARI: urut;paurutan;;"tukang pijat; tukang urut";n;;
UTAMA;usah;;usah;;kada usah;tidak usah
TURUNAN DARI: usah;mausah;;mengejar;;mausah maling;mengejar maling
UTAMA;usaha;;usaha;n;usaha bajual kacang garugum sidin makin payu;usaha berjualan kacang atom beliau semakin laku
TURUNAN DARI: usaha;bausaha;;berusaha;v;tuhuk sudah inya bausaha kada bahasil jua;sudah lama dia berusaha tidak berhasil juga
UTAMA;usang;;lama;;banih usang;padi lama
UTAMA;usap;;usap;v;usap kapala ikam lawan handuk ngini sakira karing;usap kepalamu dengan handuk ini agar kering
TURUNAN DARI: usap;mausap;;mengusap;v;sidin mausap kapala kakanak ngitu;beliau mengusap kepala anak itu
UTAMA;usik;;gelisah (untuk tidur);;guring usik banar;tidur gelisah sekali
UTAMA;usir;;datangi;v;usir inya di pahumaan;datangi ia di sawah
TURUNAN DARI: usir;mausir;;mendatangi;v;kami handak mausir urang bakawinan,;kami mau mendatangi orang yang mengadakan pesta perkawinan
UTAMA;usul;;usul;n;adakah buhan pian nang handak mambari usul?;adakah diantara kalian yang ingin memberi usul?
TURUNAN DARI: usul;mausul;;mengusulkan;v;inya mausul supaya kami tulakan basungsung;ia mengusulkan supaya kami berangkat lebih awal
UTAMA;usung;;usung;v;;
TURUNAN DARI: usung;bausung;;berusung;v;rami banar kami maliat pengantin bausung;ramai sekali kami melihat pengantin berusung
UTAMA;usut;;usut;;;
UTAMA;utak;;otak;n;;
UTAMA;utama;;utama;;;
UTAMA;utas;;cincin;n;di jarijinya ada utas amas; di jarinya ada cincin emas
TURUNAN DARI: utas;bautas;;memakai cincin;;jariji manisnya bautas amas;jari manisnya memakai cincin emas
UTAMA;utau;;isyarat, tanda;;;
UTAMA;uting;;buah (kata penggolong untuk bermacam-macam benda);n;aku bisi piring ampat uting;aku punya piring empat buah
TURUNAN DARI: uting;sauting;;sebuah;n;;
UTAMA;utuh;;(BH) panggilan terhadap anak lakilaki;n;;
UTAMA;utumatis;;(BH) otomatis;;;
UTAMA;utus;;utus;;;
UTAMA;uwa;;uak (kata sapaan kepada kakak dari ayah atau ibu);n;uwaku tahun ini naik haji;uak saya tahun ini berangkat haji
UTAMA;uyah;;garam;n;jangan kebanyakan uyah kaina masin;jangan kebanyakan garan nanti keasinan
TURUNAN DARI: uyah;bauyah;;bergaram;v;kuah ini sudah bauyah;kuah ini sudah bergaram
TURUNAN DARI: uyah;mauyahi;;menggarami;v;umaku mauyahi iwak;ibuku menggarami ikan
UTAMA;uyuh;;"lelah; letih; payah";a;aduh rasa uyuh banar awakku;aduh terasa lelah sekali badanku
TURUNAN DARI: uyuh;bauyuh;;tambah payah;v;sasar tuha sasar bauyuh awakku;semakin tua semakin tambah payah badanku
TURUNAN DARI: uyuh;mauyuhi;;"melelahkan; meletihkan";v;jangan bahimat-himat mauyuhi awak;jangan terlalu serius akan meletihkan badan
TURUNAN DARI: uyuh;kauyuhan;;"kelelahan; keletihan:";a;aku hari ini kauyuhan banar lantaran banyak nang kugawi, ;aku hari ini kelelahan sekali karena banyak yang kukerjakan
UTAMA;uyun;;bujuk;v;uyun anak ikam sakira ampih manangis;bujuk anakmu agar berhenti menangis
TURUNAN DARI: uyun;mauyuni;;membujuk;v;tuhuk aku mauyuni kada hakun jua inya ampih manangis,;lama aku membujuk tidak mau juga dia berhenti menangis
UTAMA;wabah;;wabah;;;
UTAMA;waca;;baca;;;
TURUNAN DARI: waca;wacaan;;bacaan;;;
TURUNAN DARI: waca;kada bisa mawaca;;buta huruf, tidak dapat membaca;;;
UTAMA;wada;;cela;n;;
TURUNAN DARI: wada;mawada;;mencela;v;jangan mawada makanan; jangan mencela makanan
TURUNAN DARI: wada;pawadaan;;suka mencela;;;
UTAMA;wadah;;wadah, tempat;n;;
TURUNAN DARI: wadah;bawadah;;menggunakan wadah;;;
TURUNAN DARI: wadah;diwadahi;;diberi wadah;;;
TURUNAN DARI: wadah;pawadahan;;macam-macam wadah;;kada bisi pawadahan;tidak punya macam-macam wadah
UTAMA;wadai;;n kue ;;;
TURUNAN DARI: wadai;bawadai;;membuat kue;;gawiannya harihari bawadai;pekerjaannya seharihari membuat kue
TURUNAN DARI: wadai;pawadaian;;pembuat kue;;di kampungku banyak nang jadi pawadaian;di kampungku banyak yang menjadi pembuat kue
UTAMA;wadak;;ramuan tradisional yang dioleskan sebagai obat ;n;;
TURUNAN DARI: wadak;bawadak;;memakai wadak;v;;
UTAMA;wadi;n;pengawetan ikan dengan cara membubuhkan garam dalam jumlah banyak dan mendiamkannya selama beberapa hari hingga bertahuntahun;;;
UTAMA;wagas;;sembuh;;inya sudah wagas limbah garing sabulanan;ia sudah sembuh setelah sakit selama sebulan
UTAMA;wagil;;(BH) sering;;;
UTAMA;wah;;p wah;;wah, ganalnya rumah ikam;wah, besar sekali rumahmu
UTAMA;waham;;salah sangka, keliru;;;
UTAMA;wahana;;alamat, pertanda;;;
UTAMA;wahin;;v bersin;;inya manukupi muntungnya pas wahin;ia menutup mulutnya saat bersin
UTAMA;wahini;;n sekarang;;wahini aku diam di Banjarbaru;sekarang aku tinggal di Banjarbaru
UTAMA;wahyu;;wahyu;;;
UTAMA;waja;;n baja;;;
TURUNAN DARI: waja;waja sampai ka puting;;semboyan yang bermakna teguh berpendirian, konsekuen, dan bekerja hingga selesai;peribahasa;;
UTAMA;wajangan;;wejangan;;;
UTAMA;wajar;;wajar;;;
UTAMA;wajib;;wajib;;;
UTAMA;wajik;;wajik (nama penganan) ;n;;
UTAMA;wajip;;wajib;;saban hari Kamis, kami wajip pakai baju sasirangan; setiap hari Kamis, kami wajib memakai baju sasirangan
UTAMA;wajir;;wazir;;;
UTAMA;wakap;;wakaf;;;
